epoch,accuracy,learning_rate,loss,top2_acc,val_accuracy,val_loss,val_top2_acc
0,0.7472917437553406,0.0010000000474974513,1.2033981084823608,0.891189694404602,0.8930169939994812,0.7853624224662781,0.9776186347007751
1,0.8453647494316101,0.0009500000160187483,0.8877597451210022,0.9511072635650635,0.9252461791038513,0.6579165458679199,0.9843330383300781
2,0.8701946139335632,0.0009025000035762787,0.7611739039421082,0.9650081396102905,0.933751106262207,0.5725554823875427,0.9901521801948547
3,0.8779599070549011,0.0008573749801144004,0.6963027119636536,0.9704726338386536,0.9485228061676025,0.5009442567825317,0.9901521801948547
4,0.8907103538513184,0.0008145062020048499,0.6226932406425476,0.9733486771583557,0.9516562223434448,0.46359890699386597,0.993285596370697
5,0.8934905529022217,0.000773780862800777,0.5772390365600586,0.9734445214271545,0.9543420076370239,0.4144175350666046,0.9955237507820129
6,0.9040360450744629,0.0007350918021984398,0.5233995914459229,0.9797718524932861,0.9579229950904846,0.38738924264907837,0.9941808581352234
7,0.9030773639678955,0.0006983372149989009,0.5081275105476379,0.9777585864067078,0.9556848406791687,0.3588615655899048,0.9968665838241577
8,0.9100757241249084,0.0006634203600697219,0.46600067615509033,0.9805387854576111,0.9565801024436951,0.3379988670349121,0.9950761198997498
9,0.9072955846786499,0.0006302493275143206,0.4543936252593994,0.9794842004776001,0.958818256855011,0.31798118352890015,0.9950761198997498
10,0.9143897891044617,0.0005987368640489876,0.4313513934612274,0.9806346297264099,0.9664279222488403,0.29476144909858704,0.9964189529418945
11,0.9147732853889465,0.0005688000237569213,0.4105350971221924,0.9851404428482056,0.9632945656776428,0.2836877703666687,0.9968665838241577
12,0.9162113070487976,0.0005403599934652448,0.4001123011112213,0.9821685552597046,0.9686660766601562,0.2730608284473419,0.9959713220596313
13,0.9198542833328247,0.0005133419763296843,0.3812057375907898,0.9830313324928284,0.9628469347953796,0.26861080527305603,0.9964189529418945
14,0.9228261709213257,0.00048767487169243395,0.36803361773490906,0.9849486947059631,0.9700089693069458,0.24828249216079712,0.9977618455886841
15,0.9237848520278931,0.0004632911295630038,0.35843905806541443,0.9860032796859741,0.9691137075424194,0.24900494515895844,0.9977618455886841
16,0.9255105257034302,0.00044012657599523664,0.34368282556533813,0.9857156276702881,0.9677708148956299,0.24774222075939178,0.9959713220596313
17,0.9259898662567139,0.00041812023846432567,0.34214988350868225,0.9852362871170044,0.9606087803840637,0.24714435636997223,0.9973142147064209
18,0.9332758188247681,0.00039721422945149243,0.321431428194046,0.9866743087768555,0.9686660766601562,0.23085324466228485,0.9973142147064209
19,0.9267567992210388,0.00037735351361334324,0.32950180768966675,0.9864826202392578,0.9700089693069458,0.2151140719652176,0.9986571073532104
20,0.9282906651496887,0.00035848584957420826,0.32626134157180786,0.9848528504371643,0.9717994332313538,0.20981073379516602,0.9982094764709473
21,0.9327964782714844,0.00034056155709549785,0.30738070607185364,0.9877288937568665,0.9686660766601562,0.21145890653133392,0.9959713220596313
22,0.9351931810379028,0.0003235334879718721,0.30007627606391907,0.988304078578949,0.9753804802894592,0.194083571434021,0.9964189529418945
23,0.9383568167686462,0.0003073568223044276,0.285285621881485,0.9892627596855164,0.9758281111717224,0.19514554738998413,0.9973142147064209
24,0.938069224357605,0.00029198898118920624,0.2816510796546936,0.9879206418991089,0.9798567295074463,0.17919796705245972,0.9982094764709473
25,0.9425750374794006,0.00027738953940570354,0.2753317952156067,0.9896462559700012,0.9735899567604065,0.19046428799629211,0.9973142147064209
26,0.9394113421440125,0.0002635200507938862,0.2750658392906189,0.9887834191322327,0.9744852185249329,0.18644745647907257,0.9977618455886841
27,0.9403700232505798,0.0002503440482541919,0.267366498708725,0.9909883737564087,0.9785138964653015,0.17606951296329498,0.9986571073532104
28,0.9415204524993896,0.0002378268400207162,0.2620294690132141,0.9898380041122437,0.9735899567604065,0.1830422431230545,0.9973142147064209
29,0.9440130591392517,0.00022593549510929734,0.2656534016132355,0.9872495532035828,0.977171003818512,0.1746271848678589,0.9982094764709473
